code,short,name
BOM523395,3MINDIA,3M INDIA LTD. EOD Prices
BOM500101,AARTIIND,ARVIND LTD. EOD Prices
BOM505665,ABB,ABC BEARINGS LTD.-$ EOD Prices
BOM526955,ABFRL,ABL BIOTECHNOLOGIES LTD. EOD Prices
BOM500410,ACC,ACC LTD. EOD Prices
BOM530093,ACE,ACE Edutrend Ltd EOD Prices
BOM512599,ADANIENT,ADANI ENTERPRISES LTD. EOD Prices
BOM532921,ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD. EOD Prices
BOM533096,ADANIPOWER,ADANI POWER LTD. EOD Prices
BOM500820,AIAENG,ASIAN PAINTS LTD. EOD Prices
BOM519216,AJANTPHARM,AJANTA SOYA LTD. EOD Prices
BOM512273,AKZOINDIA,ARONI COMMERCIALS LTD.-$ EOD Prices
BOM521070,ALBK,ALOK INDUSTRIES LTD. EOD Prices
BOM506767,ALKEM,ALKYL AMINES CHEMICALS LTD.-$ EOD Prices
BOM532749,ALLCARGO,ALLCARGO LOGISTICS LTD. EOD Prices
BOM521097,AMARAJABAT,AMARJOTHI SPINNING MILLS LTD. EOD Prices
BOM531978,AMBUJACEM,AMBIKA COTTON MILLS LTD. EOD Prices
BOM532331,ANANTRAJ,AJANTA PHARMA LTD. EOD Prices
BOM508869,APOLLOHOSP,APOLLO HOSPITALS ENTERPRISE LTD. EOD Prices
BOM512437,APOLLOTYRE,APOLLO FINVEST (INDIA) LTD. EOD Prices
BOM531823,ARVIND,ARVIND REMEDIES LTD. EOD Prices
BOM513401,ASAHIINDIA,ASHIANA ISPAT LTD. EOD Prices
BOM524594,ASHOKLEY,ASHOK ALCO-CHEM LTD. EOD Prices
BOM511605,ASIANPAINT,ARIHANT CAPITAL MARKETS LTD. EOD Prices
BOM532493,ASTRAZEN,ASTRA MICROWAVE PRODUCTS LTD. EOD Prices
BOM531795,ATFL,ATUL AUTO LTD.-$ EOD Prices
BOM523850,ATUL,AXTEL INDUSTRIES LTD. EOD Prices
BOM523204,AUBANK,ABAN OFFSHORE LTD. EOD Prices
BOM531336,AUROPHARMA,AUROMA COKE LTD. EOD Prices
BOM512277,AUTOAXLES,AUTORIDERS INTERNATIONAL LTD. EOD Prices
BOM532406,AVANTIFEED,AVANTEL LTD. EOD Prices
BOM524434,AXISBANK,ASIAN PETROPRODUCTS & EXPORTS LTD. EOD Prices
BOM500031,BAJAJ-AUTO,BAJAJ ELECTRICALS LTD.-$ EOD Prices
BOM500490,BAJAJELEC,BAJAJ HOLDINGS & INVESTMENT LTD. EOD Prices
