LTDate,LTClose,V,Code,Name,GL,Score,Zen,LenJ,zHigh,zLow,Impacts,BTHigh,BTLow,BTChp,CostH,CostL,Variance
23 May,193.4,1,BOM535755,ABFRL,Sell,1.0,12,2,5.67,-0.98,9(-100.0)_38(-100.0),5.44,-0.0,4.79,0.22999999999999954,0.98,1.2099999999999995
23 May,98.25,1,BOM532762,ACE,Sell,1.0,1,4,5.52,-0.55,15(100.0)_27(100.0)_37(100.0)_51(100.0),10.56,-0.0,9.27,5.040000000000001,0.55,5.590000000000001
23 May,222.55,4,BOM500425,AMBUJACEM,Sell,1.0,5,4,4.16,-0.33,15(100.0)_27(-100.0)_37(100.0)_51(-100.0),3.99,-0.62,3.54,0.16999999999999993,0.29,0.4599999999999999
23 May,30.4,1,BOM515055,ANANTRAJ,Sell,1.0,25,1,9.37,-0.41,9(100.0),11.65,-1.61,10.19,2.280000000000001,1.2000000000000002,3.4800000000000013
23 May,74.95,5,BOM500101,ARVIND,Sell,1.0,26,1,5.4,-1.05,38(-100.0),4.66,-0.73,3.86,0.7400000000000002,0.32000000000000006,1.0600000000000003
23 May,102.35,1,BOM500049,BEL,Sell,1.0,11,1,4.8,-0.7,51(-100.0),8.73,-0.0,8.39,3.9300000000000006,0.7,4.630000000000001
23 May,1001.75,2,BOM533228,BHARATFIN,Sell,1.0,8,1,5.92,-0.92,9(100.0),2.26,-0.7,1.93,3.66,0.22000000000000008,3.8800000000000003
23 May,338.4,7,BOM532454,BHARTIARTL,Sell,1.0,7,2,6.81,-0.6,27(100.0)_51(100.0),4.73,-0.0,3.94,2.079999999999999,0.6,2.6799999999999993
23 May,66.5,8,BOM500103,BHEL,Sell,1.0,4,1,4.98,-0.93,51(-100.0),3.73,-0.29,2.98,1.2500000000000004,0.6400000000000001,1.8900000000000006
23 May,510.7,1,BOM532523,BIOCON,Sell,1.0,12,2,5.81,-0.52,9(-100.0)_38(-100.0),4.28,-0.01,3.96,1.5299999999999994,0.51,2.039999999999999
23 May,29.45,2,BOM501150,CENTRUM,Sell,1.0,2,3,7.01,-0.42,9(-100.0)_18(-100.0)_38(-100.0),0.0,-4.28,-2.47,7.01,3.8600000000000003,10.870000000000001
23 May,991.15,2,BOM500040,CENTURYTEX,Sell,1.0,2,2,3.69,-1.1,28(-100.0)_49(-100.0),4.03,-0.64,3.51,0.3400000000000003,0.4600000000000001,0.8000000000000004
23 May,26.45,1,BOM532413,CEREBRAINT,Sell,1.0,53,1,9.01,-0.9,50(-100.0),1.87,-0.56,0.56,7.14,0.33999999999999997,7.4799999999999995
23 May,38.05,3,BOM500093,CGPOWER,Sell,1.0,19,1,5.34,-1.27,38(-100.0),3.79,-0.52,2.61,1.5499999999999998,0.75,2.3
23 May,214.75,1,BOM532210,CUB,Sell,1.0,31,1,6.82,-0.93,9(100.0),1.16,-1.63,-0.53,5.66,0.6999999999999998,6.36
23 May,228.0,7,BOM532772,DCBBANK,Sell,1.0,2,2,6.17,-0.31,18(-100.0)_38(-100.0),2.93,-0.86,1.41,3.2399999999999998,0.55,3.79
23 May,115.75,1,BOM511072,DHFL,Sell,1.0,5,3,4.49,-0.78,9(-100.0)_18(-100.0)_38(-100.0),5.25,-0.81,3.78,0.7599999999999998,0.030000000000000027,0.7899999999999998
23 May,210.15,1,BOM500086,EXIDEIND,Sell,1.0,15,1,6.79,-1.31,38(-100.0),3.27,-2.33,2.96,3.52,1.02,4.54
23 May,30.2,2,BOM523574,FEL,Sell,1.0,5,3,5.89,-0.74,9(-100.0)_18(-100.0)_38(-100.0),4.46,-4.13,0.99,1.4299999999999997,3.3899999999999997,4.819999999999999
23 May,337.3,2,BOM532155,GAIL,Sell,1.0,24,1,4.61,-0.86,50(-100.0),1.18,-0.76,0.91,3.4300000000000006,0.09999999999999998,3.5300000000000007
23 May,75.9,1,BOM532345,GATI,Sell,1.0,8,1,8.99,-0.92,38(-100.0),2.73,-0.91,0.78,6.26,0.010000000000000009,6.27
23 May,128.65,1,BOM532622,GDL,Sell,1.0,15,2,6.14,-0.51,9(-100.0)_38(-100.0),12.33,-0.23,3.51,6.19,0.28,6.470000000000001
23 May,252.55,2,BOM500620,GESHIP,Sell,1.0,19,1,5.65,-0.53,51(100.0),2.91,-0.61,2.24,2.74,0.07999999999999996,2.8200000000000003
23 May,240.75,1,BOM500171,GHCL,Sell,1.0,8,1,6.86,-1.56,18(-100.0),4.05,-1.22,3.18,2.8100000000000005,0.3400000000000001,3.1500000000000004
23 May,15.85,17,BOM532754,GMRINFRA,Sell,1.0,2,2,4.23,-0.41,27(-100.0)_51(-100.0),4.32,-2.16,3.7,0.08999999999999986,1.7500000000000002,1.84
