code,tradingsymbol,name
BOM533317,OMKARCHEM,OMKAR SPECIALITY CHEMICALS
BOM532880,OMAXE,OMAXE
BOM538537,OMANSH,OMANSH ENTERPRISES
BOM507609,OLYOI,OLYMPIC OIL INDUSTRIES
BOM521105,OLYMPTX,OLYMPIA INDUSTRIES
BOM534190,OLPCL,OLYMPIC CARDS
BOM526415,OKPLA,OK PLAY INDIA
BOM533632,ONELIFECAP,ONELIFE CAPITAL ADVISORS
BOM514324,OMNITEX,OMNITEX INDUSTRIES (INDIA)
BOM532340,OMNIAX,OMNI AXS SOFTWARE
BOM531092,OMMETALS,OM METALS INFRAPROJECTS
BOM531496,OMKAR,OMKAR OVERSEAS
BOM520021,OMAXAUTO,OMAX AUTOS
BOM533008,OISL,OCL IRON AND STEEL
BOM500313,OILCOUNTUB,OIL COUNTRY TUBULAR
BOM533106,OIL,OIL INDIA
BOM532466,OFSS,ORACLE FINANCIAL SERVICES SOFT
BOM530175,ODYSSEY,ODYSSEY TECHNOLOGIES
BOM531996,ODYCORP,ODYSSEY CORPORATION
BOM540416,OCTAWARE,OCTAWARE TECHNOLOGIES
BOM521062,OCTAVE,PERFECT-OCTAVE MEDIA PROJECTS
BOM538894,OCTAL,OCTAL CREDIT CAPITAL
BOM503776,MODIPON,MODIPON
BOM511736,USHDI,USHDEV INTERNATIONAL
BOM517146,USHAMART,USHA MARTIN
BOM532402,USGTECH,USG TECH SOLUTIONS
BOM540405,OCEANIC,OCEANIC FOODS
BOM523011,WEIZMANIND,WEIZMANN
BOM530845,SUNSHIEL,SUNSHIELD CHEMICALS
BOM526987,URJAGLOBA,URJA GLOBAL
BOM531390,UPSURGE,UPSURGE INVESTMENT & FINANCE L
BOM530365,ORIENTBELL,ORIENT BELL
BOM532944,ONMOBILE,ONMOBILE
BOM500312,ONGC,OIL AND NATURAL GAS CORPORATIO
BOM519491,OCEAGRO,OCEAN AGRO (INDIA)
BOM521232,SUNILTX,SUNIL INDUSTRIES
BOM540022,SDAFXVIDD,SBI MUTUAL FUND
BOM538019,OBIL,OCEANAA BIOTEK INDUSTRIES
BOM533273,OBEROIRLTY,OBEROI REALTY
BOM539046,MNKCMILTD,MANAKSIA COATED METALS & INDUS
BOM531628,STERSPN,STERLING SPINNERS
BOM532034,SAFALHBS,SAFAL HERBS
BOM500790,NESTLEIND,NESTLE INDIA
BOM505355,NESCO,NESCO
BOM539925,SDFSB41GD,SBI MUTUAL FUND
BOM536969,RFHXXV06G,RELIANCE MUTUAL FUND- RELIANCE
BOM540827,RCBFIVBCG,RELIANCE MUTUAL FUND
BOM540760,RCBFIVAD,RELIANCE MUTUAL FUND
BOM532987,RBL,RANE BRAKE LINING
BOM515037,MURUDCERA,MURUDESHWAR CERAMICS
BOM520043,MUNJALSHOW,MUNJAL SHOWA
BOM520059,MUNJALAU,MUNJAL AUTO INDUSTRIES
BOM540814,RXXXVS9Z,RELIANCE MUTUAL FUND
BOM540816,RXXXVS9X,RELIANCE MUTUAL FUND
BOM540813,RXXXVS9G,RELIANCE MUTUAL FUND
BOM540815,RXXXVS9D,RELIANCE MUTUAL FUND
BOM540784,RXXXVS7Z,RELIANCE MUTUAL FUND
BOM540785,RXXXVS7X,RELIANCE MUTUAL FUND
BOM540771,RXXXVS6Z,RELIANCE MUTUAL FUND
BOM540773,RXXXVS6X,RELIANCE MUTUAL FUND
BOM540770,RXXXVS6G,RELIANCE MUTUAL FUND
BOM511200,MUNCAPM,MUNOTH CAPITAL MARKET
BOM505594,MULTIIN,MULTIPLUS HOLDINGS
BOM526169,MULTIBASE,MULTIBASE INDIA
BOM501477,MULLER,MULLER & PHIPPS (INDIA)
BOM540772,RXXXVS6D,RELIANCE MUTUAL FUND
BOM540723,RXXXVS5G,RELIANCE MUTUAL FUND
BOM540721,RXXXVS5DG,RELIANCE MUTUAL FUND
BOM540720,RXXXVS5DD,RELIANCE MUTUAL FUND
BOM540722,RXXXVS5D,RELIANCE MUTUAL FUND
BOM540906,RXXXVS16Z,RELIANCE MUTUAL FUND
BOM532711,SUNILHITEC,SUNIL HITECH ENGINEERS
BOM530953,SUNILAGR,SUNIL AGRO FOODS
BOM531433,SUNGOLD,SUNGOLD CAPITAL
BOM500404,SUNFLAG,SUNFLAG IRON & STEEL CO.LTD.
BOM540908,RXXXVS16X,RELIANCE MUTUAL FUND
BOM540905,RXXXVS16G,RELIANCE MUTUAL FUND
BOM540907,RXXXVS16D,RELIANCE MUTUAL FUND
BOM540893,RXXXVS15Z,RELIANCE MUTUAL FUND
BOM540895,RXXXVS15X,RELIANCE MUTUAL FUND
BOM539219,MUL,MAURIA UDYOG
BOM532357,MUKTAARTS,MUKTA ARTS
