code,name,percentage,size,volume
BOM500245,KIRLOSKAR FERROUS INDUSTRIES LTD. EOD Prices,6,1233,230137.0
BOM511523,Veerhealth Care Limited EOD Prices,6,1312,43693.0
BOM513532,PRADEEP METALS LTD. EOD Prices,6,1224,21182.0
BOM519383,ANIK INDUSTRIES LTD. EOD Prices,6,1244,30242.0
BOM522029,WINDSOR MACHINES LTD. EOD Prices,6,1239,39393.0
BOM523796,VICEROY HOTELS LTD. EOD Prices,6,1016,86917.0
BOM523842,Super Tannery Limited EOD Prices,6,1399,32880.0
BOM524470,SYNCOM FORMULATIONS (INDIA) LTD.-$ EOD Prices,6,1158,855614.0
BOM524663,BHARAT IMMUNOLOGICALS & BIOLOGICALS CORPORATION LTD.-$ EOD Prices,6,1449,44679.0
BOM526927,DION GLOBAL SOLUTIONS LTD. EOD Prices,6,1289,23710.0
BOM532456,COMPUAGE INFOCOM LTD. EOD Prices,6,1075,23205.0
BOM500268,MANALI PETROCHEMICAL LTD. EOD Prices,6,1238,312037.0
BOM502448,ROLLATAINERS LTD. EOD Prices,6,1163,29822.0
BOM516078,JUMBO BAG LTD. EOD Prices,6,1066,24213.0
BOM522163,Diamond Power Infrastructure Limited-$ EOD Prices,6,1173,67633.0
BOM523371,MAWANA SUGARS LTD. EOD Prices,6,1214,31361.0
BOM530305,PICCADILY AGRO INDUSTRIES LTD. EOD Prices,6,1356,29879.0
BOM530461,SABOO SODIUM CHLORO LTD. EOD Prices,6,1130,36226.0
BOM531439,GOLDSTONE TECHNOLOGIES LTD. EOD Prices,6,1168,58644.0
BOM532324,CINEVISTA LTD. EOD Prices,6,1148,24560.0
BOM532379,FIRSTOBJECT TECHNOLOGIES LTD. EOD Prices,6,1196,251480.0
BOM500132,EMPEE SUGARS & CHEMICALS LTD. EOD Prices,6,1300,31760.0
BOM500356,SHREE RAMA NEWSPRINT LTD. EOD Prices,6,1178,193942.0
BOM501833,CHOWGULE STEAMSHIPS LTD. EOD Prices,6,1299,59943.0
BOM505726,IFB INDUSTRIES LTD. EOD Prices,6,1033,26082.0
BOM507794,KHAITAN CHEMICALS & FERTILIZERS LTD. EOD Prices,6,1064,20786.0
BOM513179,NATIONAL STEEL & AGRO INDUSTRIES LTD. EOD Prices,6,1186,75686.0
BOM521018,MARAL OVERSEAS LTD. EOD Prices,6,1004,31181.0
BOM522105,BIRLA PRECISION TECHNOLOGIES LTD. EOD Prices,6,1307,27732.0
BOM522165,INDSIL HYDRO POWER AND MANGANESE LTD.-$ EOD Prices,6,1022,23020.0
BOM522229,TANEJA AEROSPACE & AVIATION LTD.-$ EOD Prices,6,1387,47713.0
BOM526614,EXPO GAS CONTAINERS LTD. EOD Prices,6,1466,23099.0
BOM526727,GARNET CONSTRUCTION LTD. EOD Prices,6,1155,27426.0
BOM530175,ODYSSEY TECHNOLOGIES LTD.-$ EOD Prices,6,1486,22705.0
BOM531390,UPSURGE INVESTMENT & FINANCE LTD. EOD Prices,6,1323,23353.0
BOM532380,BABA ARTS LTD.-$ EOD Prices,6,1300,49174.0
BOM500307,NIRLON LTD. EOD Prices,6,1326,128155.0
BOM500337,PRIME SECURITIES LTD. EOD Prices,6,1439,119989.0
BOM501848,GLOBAL OFFSHORE SERVICES LTD.-$ EOD Prices,6,1112,46614.0
BOM504112,NELCO LTD. EOD Prices,6,1038,138732.0
BOM511427,ATN INTERNATIONAL LTD. EOD Prices,6,1256,72355.0
BOM517271,HBL POWER SYSTEMS LTD.-$ EOD Prices,6,1103,96939.0
BOM519602,Kellton Tech Solutions Ltd. EOD Prices,6,1323,32668.0
BOM520139,JAGSON AIRLINES LTD. EOD Prices,6,1282,21577.0
BOM522004,BATLIBOI LTD.-$ EOD Prices,6,1123,24771.0
BOM526133,SUPERTEX INDUSTRIES LTD. EOD Prices,6,1198,167877.0
BOM531845,ZENITH BIRLA (INDIA) LTD.-$ EOD Prices,6,1511,98177.0
BOM500009,AMBALAL SARABHAI ENTERPRISES LTD. EOD Prices,6,1331,71990.0
BOM505840,JAIPAN INDUSTRIES LTD. EOD Prices,6,1133,28783.0
BOM513361,INDIA STEEL WORKS LTD. EOD Prices,6,1550,69920.0
BOM517536,ONWARD TECHNOLOGIES LTD. EOD Prices,6,1081,39285.0
BOM523660,WATERBASE LTD. EOD Prices,6,1289,64214.0
BOM530079,FAZE THREE LTD.-$ EOD Prices,6,1048,22214.0
BOM530555,PARAMOUNT COMMUNICATIONS LTD.-$ EOD Prices,6,1309,110452.0
BOM532330,BIOPAC INDIA CORPORATION LTD.-$ EOD Prices,6,1236,30307.0
BOM532406,AVANTEL LTD. EOD Prices,6,1029,20698.0
BOM500239,KG DENIM LTD. EOD Prices,6,1165,50767.0
BOM511333,VLS FINANCE LTD. EOD Prices,6,1168,80227.0
BOM512267,MEDIA MATRIX WORLDWIDE LTD. EOD Prices,6,1044,145965.0
BOM517498,WEBSOL ENERGY SYSTEM LTD. EOD Prices,6,1087,32895.0
BOM521206,SAMTEX FASHIONS LTD.-$ EOD Prices,6,1057,21161.0
BOM523768,GUJARAT BOROSIL LTD. EOD Prices,6,1351,57957.0
BOM530011,MANGALORE CHEMICALS & FERTILIZERS LTD. EOD Prices,6,1236,491318.0
BOM500012,ANDHRA PETROCHEMICALS LTD. EOD Prices,6,1104,236939.0
BOM500404,SUNFLAG IRON & STEEL CO.LTD. EOD Prices,6,1113,461961.0
BOM503031,PENINSULA LAND LTD. EOD Prices,6,1037,136055.0
BOM505358,INTEGRA ENGINEERING INDIA LTD. EOD Prices,6,1141,24219.0
BOM507753,TGV Sraac Ltd EOD Prices,6,1287,123358.0
BOM512608,BHANDARI HOSIERY EXPORTS LTD. EOD Prices,6,1322,71119.0
BOM522134,ARTSON ENGINEERING LTD. EOD Prices,6,1228,33114.0
BOM523449,SHARP INDIA LTD. EOD Prices,6,1180,27413.0
BOM526093,SATHAVAHANA ISPAT LTD. EOD Prices,6,1100,63292.0
BOM526640,ROYALE MANOR HOTELS & INDUSTRIES LTD. EOD Prices,6,1408,28564.0
BOM530017,STANDARD INDUSTRIES LTD. EOD Prices,6,1227,78807.0
BOM532141,ANDHRA CEMENTS LTD. EOD Prices,6,1051,106439.0
BOM532342,Commex Technology Limited EOD Prices,6,1168,72931.0
BOM500139,Fedders Electric and Engineering Ltd EOD Prices,6,1072,74572.0
BOM500365,RMG Alloy Steel Limited EOD Prices,6,1634,74102.0
BOM507833,COMPUTER POINT LTD. EOD Prices,6,1177,35641.0
BOM511601,YASH MANAGEMENT & SATELLITE LTD. EOD Prices,6,1381,23498.0
BOM517415,LEE & NEE SOFTWARES (EXPORTS) LTD. EOD Prices,6,1961,25749.0
BOM519156,VADILAL INDUSTRIES LTD.-$ EOD Prices,6,1156,25678.0
BOM519287,MODERN DAIRIES LTD. EOD Prices,6,1364,31699.0
BOM526263,MOLD-TEK TECHNOLOGIES LTD. EOD Prices,6,1133,26441.0
BOM531216,COMFORT INTECH LTD.-$ EOD Prices,6,1251,190974.0
BOM532097,MUKAND ENGINEERS LTD. EOD Prices,6,1119,30982.0
BOM532275,LANDMARC LEISURE CORPORATION LTD. EOD Prices,6,1297,86602.0
BOM500060,Birla Cable Ltd EOD Prices,6,1008,45724.0
BOM500153,GANESH BENZOPLAST LTD. EOD Prices,6,1359,86252.0
BOM500199,I G PETROCHEMICALS LTD. EOD Prices,6,1245,39927.0
BOM500422,TRANSCHEM LTD.-$ EOD Prices,6,1446,23209.0
BOM504220,W.S.INDUSTRIES (INDIA) LTD.-$ EOD Prices,6,1058,35044.0
BOM514286,ASHIMA LTD. EOD Prices,6,1079,73345.0
BOM517467,MARSONS LIMITED EOD Prices,6,1226,116552.0
BOM519570,LAKSHMI OVERSEAS INDUSTRIES LTD. EOD Prices,6,1049,71588.0
BOM530843,CUPID LTD.-$ EOD Prices,6,1018,36328.0
